pool_id,track_id,weight,minimum_progression,recency_exclusion,status,notes
COMMERCE,TB_SKETCHBOOK_2024_08_21,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
COMMERCE,TB_SKETCHBOOK_2024_09_25,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
COMMERCE,TB_SKETCHBOOK_2024_11_30,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
COMMERCE,TB_SKETCHBOOK_2024_12_15,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
COMMERCE,TB_SKETCHBOOK_2025_11_26,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
EARLY_GAME,TB_SKETCHBOOK_2024_05_08,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
EARLY_GAME,TB_SKETCHBOOK_2024_06_05_01,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
EARLY_GAME,TB_SKETCHBOOK_2024_06_19,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
EARLY_GAME,TB_SKETCHBOOK_2024_08_13,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
EARLY_GAME,TB_SKETCHBOOK_2024_09_12,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
INDUSTRY,TB_SKETCHBOOK_2024_07_04,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
INDUSTRY,TB_SKETCHBOOK_2024_09_18,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
INDUSTRY,TB_SKETCHBOOK_2024_10_30,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
INDUSTRY,TB_SKETCHBOOK_2024_11_07,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
INDUSTRY,TB_SKETCHBOOK_2024_12_05,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
INDUSTRY,TB_SKETCHBOOK_2025_11_12,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
SCIENCE,TB_SKETCHBOOK_2024_04_24_01,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
SCIENCE,TB_SKETCHBOOK_2024_09_22,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
SCIENCE,TB_SKETCHBOOK_2024_11_20,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
SCIENCE,TB_SKETCHBOOK_2024_12_21,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
SCIENCE,TB_SKETCHBOOK_2025_11_13,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
SCIENCE,TB_SKETCHBOOK_2025_12_03,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
UNIVERSAL,TB_SKETCHBOOK_2024_07_03,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
UNIVERSAL,TB_SKETCHBOOK_2024_08_07,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
UNIVERSAL,TB_SKETCHBOOK_2024_11_29,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
UNIVERSAL,TB_SKETCHBOOK_2024_12_04,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
UNIVERSAL,TB_SKETCHBOOK_2025_11_19,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
UNIVERSAL,TB_WEEK_2_RUINED_LANDS_HOPE,1.0,,8,Candidate,Seeded from the original curation folder; confirm by listening.
